Municípios,Característica,Nome da Manifestação,Data,Pessoas,Tipo de Reivindicação,Organização,Tipo Vio.
Acre,,,,,,,
Acrelândia,,"Protesto por Desapropriação deTerras",16/03/2004,172,Desapropriação,STR,
Rio Branco,,"Protest. na Frente do STR/RamalEspinhara",22/04/2004,30,"Desapropriação/Cumprimento de acordos",OTC,
Rio Branco,,Bloq. de Rodovia/Ramal da Judia,09/03/2004,412,Regularização fundiária,SI,
Senador Guiomard,,"Ato no Ramal Belo Horizonte/Sering.Benfica",16/02/2004,40,Desapropriação,CUT,
Subtotal:,,4,,654,,,
Alagoas,,,,,,,
Arapiraca,,Protesto na frente do Bco do NE,28/06/2004,200,Crédito,MPA,
Atalaia,,"Bloq. pela Liberdade de CésarAparecido",17/05/2004,650,"Contra a injustiça e aviolência",MST,
Delmiro Gouveia,,Ocupação da Sede da Chesf,09/11/2004,500,"Cumprimento de acordos/Reassentamento",MST,
Delmiro Gouveia,,Ocup. da Secret. Reg. do Sertão,17/05/2004,60,Direitos humanos,MST,
Flexeiras,,"Bloq. BR-101/Faz. Bota Velha/Flor doBosque",28/04/2004,80,"Desapropriação/ Cestabásica",CPT,
Flexeiras,,Acampamento na frente da Prefeitura,18/06/2004,250,"Desapropriação/ Cestabásica",MST,
Flexeiras,,Bloqueio na BR-101,28/04/2004,250,Cesta básica,CPT,
Flexeiras,,Bloqueio na BR-104,18/08/2004,300,"Desapropriação/ ReformaAgrária",MTL,
Flexeiras,,Bloqueio BR-101,13/09/2004,150,"Desapropriação/ ReformaAgrária",MTL,
Inhapi,,"Bloq. pela Liberdade de CésarAparecido",17/05/2004,300,"Contra a injustiça e aviolência",MST,
Maceió,,Ocupação do Incra,05/03/2004,300,Desapropriação,CPT,
Maceió,,Manif. Sede do Incra/Flor do Bosque,26/11/2004,100,Desapropriação,CPT,
Maceió,,"Acamp. Prç. Sinimbu/Faz. BeloHorizonte",13/12/2004,150,"Desapropriação/ ReformaAgrária",MTL,
Maceió,,"Ocupação do Bco. do NE/Assent. StaLuzia",17/06/2004,60,"Crédito/ Incentivos àpequena produção",OTC,
Maceió,,"Protesto de Trabalhadoras Rurais/Diada Mulher",08/03/2004,200,"Contra a injustiça e aviolência",CUT/ MST/ MTL,
Maceió,,Protesto no Dia Mundial da Água,22/03/2004,200,"Direitos humanos/ Contraprivatização da água",CPT,
Maceió,,Ocupação do Incra,29/03/2004,300,"Desapropriação/ ReformaAgrária",MTL,
Maceió,,"Protesto na Conab, no Incra e  no BN",11/05/2004,300,"Incentivos à pequenaprodução",MST,
Maceió,,Ocupação do Incra e da Conab,21/06/2004,350,"Desapropriação/ Cestabásica",MTL,
Maceió,,Bloqueio na Av. da Paz,22/06/2004,150,"Desapropriação/ Cestabásica",MTL,
Maceió,,Acamp. Praça Visconde de Sinimbu,09/11/2004,1500,"Desapropriação/ ReformaAgrária",MST,
Maceió,,Ocupação do Incra,11/11/2004,1000,"Desapropriação/ ReformaAgrária",MST,
Maceió,,Protesto por Energia Elétrica,01/12/2004,80,Infra-estrutura,Ceapa,
Maceió,,Ocupação do Incra,09/12/2004,400,"Desapropriação/ ReformaAgrária",CPT,
Maceió,,Marcha por Reforma Agrária,15/04/2004,1000,Reforma Agrária,CPT/ MST/ MTL,
Maceió,,Acamp. na Praça Visconde Sinimbu,20/07/2004,3000,"Desapropriação/ Crédito/Cesta básica/ Contra ainjustiça e a violência",CPT/ MST/ MTL,
Maceió,,Bloq. da Av. Duque de Caxias,22/07/2004,150,"Desapropriação/ Cestabásica",MTL,
Maceió,,"Ocup. da Secret. Executiva deEducação",23/07/2004,1500,"Cumprimento de acordos/Educação",CPT/ MTL,
Maceió,,Caminhada pela Reforma Agrária,27/07/2004,1500,"Desapropriação/ Crédito/Cesta básica/ ReformaAgrária",MTL,
,,Acamp. na Praça Sinimbu,06/09/2004,132,Desapropriação,CPT,
Municípios,,Nome da Manifestação,Data,Pessoas,Tipo de Reivindicação,Organização,
