Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Acre,,,,,
Acrelândia,"Fazendas Santa Luzia 1 e 2/BR-364/Km 8/Ramaldo Carlão",30/06/2015,,,OI
Acrelândia,"Fazendas Santa Luzia 1 e 2/BR-364/Km 8/Ramaldo Carlão",27/09/2015,800,70,OI
Acrelândia,Fazenda Fortaleza,10/05/2015,,,OI
Acrelândia,Fazenda Fortaleza,27/09/2015,,40,OI
Assis Brasil,Km 02/AMOPREAB,31/03/2015,,56,OI
Boca do Acre/Rio Branco,Seringal Entre Rios/Faz. do 52,31/01/2015,122000,39,OI
Manoel Urbano,Seringal Liberdade,31/01/2015,12000,260,SI
Subtotal:,7,,134800,465,
Alagoas,,,,,
Olho D`Água do Casado,Fazenda Flor da Serra,15/04/2015,,120,MST
Porto Calvo,Fazenda Escurial,20/01/2015,120,50,VT*
Porto Calvo,Fazenda Capricho,20/01/2015,,50,VT*
São Miguel dos Milagres,Fazenda Castelo,13/01/2015,,25,VT*
São Miguel dos Milagres,Fazenda Bom Destino,13/01/2015,,25,VT*
Subtotal:,5,,120,270,
Amazonas,,,,,
Canutama,"Área na BR-319/Km 22-23/Próx. ao Acamp. RioA z u  l",29/04/2015,,40,SI
Subtotal:,1,,0,40,
Bahia,,,,,
Alcobaça,Fazenda Maçaranduba,18/04/2015,,100,MST
Arataca,Fazenda Jaci,04/09/2015,,38,MST
Baixa Grande,Fazenda Camapuã,30/09/2015,2600,150,MST
Barreiras/São Desidério,Fazenda Santo Antônio,18/04/2015,17800,150,MST
Boa Vista do Tupim,Fazenda Formosa,18/04/2015,,100,MST
Camacan/Mascote,Fazenda Guanabara,25/04/2015,380,50,Ceta
Casa Nova,Fazenda Granja,18/04/2015,,150,MST
Eunápolis,Fazenda Nossa Senhora de Fátima,18/04/2015,,150,MST
Ibirapuã,Fazenda Reunidas Amazonas,18/04/2015,,100,MST
Igrapiúna,Fazenda Itapema,18/04/2015,,100,MST
Itanhém,Fazenda Planície,18/04/2015,600,150,MST
Itanhém,Fazenda Piramboia,26/09/2015,500,50,MST
Jequié,Fazenda Copacabana,18/04/2015,750,150,MST
Juazeiro,Fazenda Santa Rita,18/04/2015,,100,MST
Jucuruçu,Faz. Pedra Redonda/Acamp. Bruna Araújo,15/07/2015,,,MST
